Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),103.69,39.33,137.93,2592.32,42.07,54.24,71.58,85.25,106.27,128.35,134.89,136.62,137.63,26.37
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,319.04,23.00,1492.00,7976.00,28.28,45.00,45.80,77.00,174.00,372.00,757.80,1072.60,1408.72,369.45
HTTP Chunks Sent,1.00,1.00,1.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,1.76,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,0.34
HTTP Connection Overhead (ms),0.12,0.00,3.01,3.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.29,0.59
HTTP Connection Reused (ratio),0.96,0.00,1.00,24.00,0.24,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),93.67,6.51,438.30,2341.71,8.07,12.99,13.22,22.48,51.05,109.41,222.49,315.27,413.91,108.63
HTTP Data Sent (KB),70.64,6.76,113.55,1765.99,7.37,11.65,22.73,51.11,75.85,99.26,108.93,110.75,112.94,32.37
HTTP DNS Lookup (ms),0.05,0.00,1.25,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.25
HTTP Duration (excl. conn) (ms),2923.63,471.09,14164.76,73090.86,484.11,525.51,534.77,737.03,1698.43,2796.03,7323.82,10326.34,13359.61,3435.78
HTTP Receiving (ms),2265.84,148.72,10658.79,56646.07,186.60,306.80,312.66,537.33,1232.61,2646.05,5397.09,7654.20,10062.55,2642.40
HTTP Sending (ms),0.27,0.16,2.15,6.72,0.16,0.17,0.17,0.18,0.19,0.20,0.21,0.23,1.69,0.38
HTTP Total Time (ms),2923.75,471.09,14164.76,73093.87,484.11,525.51,534.77,737.03,1701.44,2796.03,7323.82,10326.34,13359.61,3435.73
HTTP Waiting (TTFB) (ms),657.52,148.68,9031.48,16438.07,148.95,149.99,150.87,170.17,218.57,410.61,663.03,677.26,7026.93,1718.86
Input Sequence Length (tokens),4965.83,218.00,7851.00,119180.00,228.35,306.50,1000.30,3214.00,5491.50,7443.50,7717.80,7768.40,7833.52,2492.15
Inter Chunk Latency (ms),7.15,3.17,8.64,56575.75,7.02,7.10,7.12,7.14,7.15,7.16,7.17,7.18,7.26,0.14
Inter Token Latency (ms),7.14,7.07,7.17,178.39,7.07,7.08,7.10,7.13,7.14,7.15,7.16,7.16,7.16,0.02
OSL Mismatch Diff % (%),-12.04,-69.87,0.00,-301.10,-69.86,-68.24,-57.34,-4.39,0.00,0.00,0.00,0.00,0.00,23.34
Output Sequence Length (tokens),317.72,22.00,1491.00,7943.00,27.28,44.00,44.40,76.00,172.00,370.00,756.20,1071.40,1407.72,369.50
Output Token Count (tokens),317.72,22.00,1491.00,7943.00,27.28,44.00,44.40,76.00,172.00,370.00,756.20,1071.40,1407.72,369.50
Output Token Throughput Per User (tokens/sec/user),140.15,139.55,141.42,3503.64,139.57,139.63,139.70,139.84,140.02,140.31,140.77,141.27,141.41,0.48
Prefill Throughput Per User (tokens/sec/user),19358.35,726.20,45623.02,464600.32,729.85,847.25,1925.82,5905.01,17114.06,34540.81,37257.80,39597.39,44312.73,14225.39
Request Latency (ms),2920.90,463.74,14164.67,73022.39,478.48,525.33,531.47,736.72,1698.43,2787.68,7320.44,10326.17,13359.51,3436.40
Time to First Output Token (ms),657.87,148.93,9031.74,16446.64,149.20,150.24,151.13,170.42,218.82,410.87,663.31,677.52,7027.19,1718.84
Time to First Token (ms),657.87,148.93,9031.74,16446.64,149.20,150.24,151.13,170.42,218.82,410.87,663.31,677.52,7027.19,1718.84
Time to Second Token (ms),5.43,3.17,7.58,135.65,3.49,4.49,4.57,5.07,5.53,5.86,6.00,6.11,7.23,0.78

Metric,Value
Benchmark Duration (sec),84.04
OSL Mismatch Count,6.00
Output Token Throughput (tokens/sec),94.51
Request Count,25.00
Request Throughput (requests/sec),0.30
Total Input Sequence Length (tokens),119180.00
Total Output Sequence Length (tokens),7943.00
Total Output Tokens (tokens),7943.00
Total Token Throughput (tokens/sec),1512.61


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
